seed,neuron,a,b,activation
0,99,1,101,0.908436
0,99,1,102,0.830944
0,99,1,103,1.02361
0,99,1,104,0.552799
0,99,1,105,0.89104
0,99,1,106,0.325615
0,99,1,107,0.814444
0,99,1,108,0.51238
0,99,1,109,0.790484
0,99,1,110,0.768743
0,99,1,111,0.653627
0,99,1,112,0.934031
0,99,2,0,0.826997
0,99,2,1,0.444719
0,99,2,2,1.0643
0,99,2,3,0.758652
0,99,2,4,0.875407
0,99,2,5,0.855511
0,99,2,6,0.777032
0,99,2,7,1.15898
0,99,2,8,0.5737
0,99,2,9,0.895422
0,99,2,10,0.448711
0,99,2,11,1.07043
0,99,2,12,0.841278
0,99,2,13,0.909215
0,99,2,14,0.837172
0,99,2,15,0.577559
0,99,2,16,0.947382
0,99,2,17,0.347843
0,99,2,18,0.688654
0,99,2,19,0.136117
0,99,2,20,0.792247
0,99,2,21,0.71303
0,99,2,22,0.910225
0,99,2,23,0.951193
0,99,2,24,0.60837
0,99,2,25,1.13223
0,99,2,26,0.574812
0,99,2,27,0.964038
0,99,2,28,0.399857
0,99,2,29,0.875835
0,99,2,30,0.87162
0,99,2,31,0.99656
0,99,2,32,1.08731
0,99,2,33,0.586093
0,99,2,34,1.08087
0,99,2,35,0.558843
0,99,2,36,1.0085
0,99,2,37,0.39711
0,99,2,38,0.689358
0,99,2,39,0.686502
0,99,2,40,0.71568
0,99,2,41,0.871535
0,99,2,42,0.303794
0,99,2,43,0.79394
0,99,2,44,0.385233
0,99,2,45,1.00464
0,99,2,46,0.580854
0,99,2,47,0.827123
0,99,2,48,0.899685
0,99,2,49,0.923299
0,99,2,50,1.16729
0,99,2,51,0.521339
0,99,2,52,0.857065
0,99,2,53,0.469616
0,99,2,54,1.05996
0,99,2,55,0.747083
0,99,2,56,0.893698
0,99,2,57,0.913414
0,99,2,58,0.859375
0,99,2,59,1.13825
0,99,2,60,0.4231
0,99,2,61,0.689798
0,99,2,62,0.193742
0,99,2,63,0.773138
0,99,2,64,0.545517
0,99,2,65,0.698386
0,99,2,66,0.722361
0,99,2,67,0.683611
0,99,2,68,1.15928
0,99,2,69,0.590469
0,99,2,70,0.920312
0,99,2,71,0.396874
0,99,2,72,0.981796
0,99,2,73,0.806507
0,99,2,74,0.917146
0,99,2,75,0.909699
0,99,2,76,0.678434
0,99,2,77,1.17198
0,99,2,78,0.627047
0,99,2,79,0.999685
0,99,2,80,0.397692
0,99,2,81,0.921113
0,99,2,82,0.797439
0,99,2,83,0.832982
0,99,2,84,0.825075
0,99,2,85,0.332034
0,99,2,86,0.821888
0,99,2,87,0.327044
0,99,2,88,0.812573
0,99,2,89,0.317542
0,99,2,90,0.812534
0,99,2,91,0.876971
0,99,2,92,0.987624
0,99,2,93,1.11156
0,99,2,94,0.532654
0,99,2,95,0.976075
0,99,2,96,0.495093
0,99,2,97,1.01931
0,99,2,98,0.538336
0,99,2,99,0.833494
0,99,2,100,0.93711
0,99,2,101,0.985728
0,99,2,102,1.22971
0,99,2,103,0.525552
0,99,2,104,0.873816
0,99,2,105,0.382599
0,99,2,106,0.864305
0,99,2,107,0.40615
0,99,2,108,0.598346
0,99,2,109,0.634427
0,99,2,110,0.682761
0,99,2,111,1.04911
0,99,2,112,0.448019
0,99,3,0,0.373698
0,99,3,1,0.962195
0,99,3,2,0.761557
0,99,3,3,1.03184
0,99,3,4,0.991892
0,99,3,5,0.812202
0,99,3,6,1.25181
0,99,3,7,0.785738
0,99,3,8,1.15426
0,99,3,9,0.513975
0,99,3,10,0.956432
0,99,3,11,0.848892
0,99,3,12,1.00707
0,99,3,13,0.995921
0,99,3,14,0.63823
0,99,3,15,1.0259
0,99,3,16,0.472856
0,99,3,17,0.822803
0,99,3,18,0.238294
