seed,neuron,frequency,single_fve,sum_fve,phase,amplitude
0,242,5,0.6261089439,0.2879435683,-2.366063044,17.91365821
0,242,17,0.000486005742,9.488873948e-08,2.541981552,0.01028342846
0,242,24,0.09663529584,0.01624438117,-2.821396232,4.254829662
0,242,34,0.000160296468,8.934817716e-08,2.264157754,0.00997868793
0,242,50,0.08265206019,0.07779221307,-0.9413473771,9.311049937
0,243,5,0.3955792185,0.240753178,-1.60158293,15.14810254
0,243,17,0.001093814465,3.873099462e-07,2.626215592,0.01921328155
0,243,24,0.1179080527,0.05866074364,0.01111947537,7.477320635
0,243,34,0.0001940134579,3.018769263e-08,1.723670494,0.005363980392
0,243,50,0.2384297264,0.2347111598,2.235111735,14.95681395
0,244,5,0.0003084995703,9.492924503e-05,-2.268090538,2.096955897
0,244,17,4.64676719e-05,5.174832502e-08,0.9853741971,0.0489595516
0,244,24,0.001248405918,0.0006871852261,0.08648361363,5.641910468
0,244,34,6.702467164e-07,9.191154453e-08,1.374909452,0.06524906837
0,244,50,0.9651615309,0.1870789297,-2.518126035,93.08971943
0,245,5,0.0001479483342,7.582144515e-05,-1.945603619,1.727531446
0,245,17,2.720363974e-05,3.283225781e-08,-0.7037367811,0.0359484614
0,245,24,0.001375699312,7.051004771e-05,-0.2126406995,1.665924967
0,245,34,1.919280628e-06,2.309162362e-08,-2.915834487,0.03014790705
0,245,50,0.9663713593,0.1749152987,-2.898580889,82.97434458
0,246,5,8.911014935e-05,2.330668978e-05,2.973117577,0.519938358
0,246,17,0.9734696107,0.08748696486,0.7401835399,31.85541267
0,246,24,0.0003083328802,6.213196601e-05,-0.2610792842,0.8489245801
0,246,34,0.005986339114,0.002050524601,-1.717942547,4.876902268
0,246,50,0.0003049739624,0.0001563177312,-0.7336564066,1.346528909
0,247,5,9.047779068e-05,6.134866939e-05,-1.512949979,0.9178933486
0,247,17,0.0003524653248,6.886611077e-05,-1.544822741,0.9725063089
0,247,24,0.9769862538,0.1530831138,-1.934036944,45.85147305
0,247,34,7.499048162e-05,6.682080303e-07,-1.122685841,0.09579558507
