seed,neuron,dead,frequency,single_fve,sum_fve,sum_fve_at_frequency,phase_at_frequency
0,228,0,5,0.9697295455,0.1477378622,0.1476468164,-0.4597955671
0,229,0,17,0.9728885427,0.0860986745,0.08397104155,1.975345173
0,230,0,24,0.944213201,0.1033819607,0.1030085121,1.097628283
0,231,0,50,0.9600412889,0.2008571575,0.2003453616,-2.779618824
0,232,0,50,0.4534686766,0.5225542817,0.3629486134,1.782146279
0,233,0,50,0.9741118205,0.1452217047,0.1450105083,-0.5586407745
0,234,0,24,0.5616754792,0.374857984,0.2157732476,-3.02699787
0,235,0,24,0.9476629237,0.1932541254,0.1928362577,-3.052811527
0,236,0,24,0.934543924,0.3599490732,0.3440416443,0.2125545448
0,237,0,24,0.9460827745,0.3542711639,0.3469119251,0.1777058468
0,238,0,5,0.9651619096,0.1654598194,0.1650050641,2.032125578
0,239,0,5,0.5402225264,0.367373149,0.2559356349,-2.467676316
0,240,0,5,0.9664441414,0.09932632267,0.0990442701,-2.08717018
0,241,0,50,0.9616671709,0.191154867,0.190825996,-2.090561323
0,242,0,5,0.6261089439,0.3819803468,0.2879435683,-2.366063044
0,243,0,5,0.3955792185,0.5341254989,0.240753178,-1.60158293
0,244,0,50,0.9651615309,0.1878611878,0.1870789297,-2.518126035
0,245,0,50,0.9663713593,0.1750616861,0.1749152987,-2.898580889
0,246,0,17,0.9734696107,0.08977924585,0.08748696486,0.7401835399
0,247,0,24,0.9769862538,0.1532671695,0.1530831138,-1.934036944
0,248,0,5,0.5901330958,0.4335521289,0.3465530203,-2.975672096
0,249,0,50,0.6748654762,0.5813113333,0.5494663458,-0.341938996
0,250,0,17,0.9725439541,0.08075545915,0.0793315607,-2.558661254
0,251,0,24,0.941825314,0.3542109016,0.3468005255,0.1144272038
0,252,0,24,0.9797821161,0.1170018892,0.1169241885,1.747655463
0,253,0,17,0.9733829221,0.08646730965,0.08436165358,-0.2781071166
0,254,0,17,0.9723520625,0.08650754466,0.08438122418,2.307822894
0,255,0,17,0.9724701837,0.08547130012,0.08350387292,2.377650896
0,256,0,50,0.9650587522,0.1946258968,0.1939396299,2.966130391
0,257,0,50,0.9727291575,0.1017822879,0.1009931743,1.122706584
0,258,0,50,0.9653585737,0.1815285407,0.1813279575,-1.643377766
0,259,0,50,0.9751860376,0.1072088349,0.1067093519,0.1887059147
0,260,0,17,0.9714447553,0.08426320279,0.08227255194,2.824012577
0,261,0,24,0.9477024645,0.1992503019,0.1989815684,-2.893659598
0,262,0,50,0.9669890707,0.1675976813,0.1674399851,-2.875185729
0,263,0,24,0.2885756612,0.5382058958,0.1277807937,0.1753019509
0,264,0,17,0.9726131179,0.08571312314,0.08363102906,2.251869146
0,265,0,5,0.9666347929,0.1555350971,0.1553969508,0.4616610239
0,266,0,17,0.9727998735,0.08621607281,0.08405646802,1.956332351
0,267,0,17,0.9723620919,0.07846842052,0.07690826178,-0.4224972199
0,268,0,50,0.9661254326,0.1782647796,0.1780209669,-2.058778507
0,269,0,5,0.9700361254,0.1509391671,0.1508828375,2.280700956
0,270,0,24,0.9532439301,0.1254132242,0.1251076733,-1.286879269
0,271,0,50,0.7440987073,0.4118333938,0.3906016164,0.4100572391
0,272,0,50,0.4578167995,0.5490453212,0.3659301509,1.779407168
0,273,0,5,0.9662858238,0.178147171,0.17758331,1.361095714
0,274,0,17,0.9724048775,0.0784839842,0.07692232937,-0.4040977173
0,275,0,17,0.973464851,0.08750941689,0.0854309157,-1.371993267
0,276,0,17,0.9727809637,0.08369723415,0.08206728356,1.543099862
0,277,0,50,0.9736340715,0.1013788461,0.1006530318,0.657050383
0,278,0,24,0.8038327074,0.4124620891,0.3085512084,0.1894469461
0,279,0,50,0.4104241577,0.4516868154,0.2947988591,1.652312572
0,280,0,24,0.9403281353,0.1841313256,0.1838580697,2.244411481
0,281,0,50,0.4118188885,0.5292959408,0.3594883725,-0.4481056965
0,282,0,50,0.9660088772,0.1765200677,0.1763838571,-1.904636531
0,283,0,24,0.9526938692,0.1976470599,0.1971325161,-2.698550945
0,284,0,5,0.9694375648,0.1954608125,0.1948709722,-0.1791744491
0,285,0,5,0.9766658393,0.1732865181,0.1730815383,-0.391232234
0,286,0,50,0.689842625,0.471644968,0.4231947245,1.38666801
0,287,0,5,0.9694071397,0.1176334928,0.1174175992,-1.451995739
0,288,0,5,0.9589841998,0.1838973522,0.1832939235,0.3770210464
0,289,0,50,0.9661469187,0.1781229797,0.1778947709,-2.02420235
0,290,0,17,0.9728257144,0.08670193051,0.08450417419,-0.6134492678
0,291,0,50,0.9703831607,0.1835731172,0.1831890628,-1.131071108
0,292,0,24,0.6169135124,0.4592355209,0.2536067102,0.319004765
0,293,0,17,0.9716400964,0.08288448797,0.08102901868,0.5107888886
0,294,0,50,0.9663519022,0.178503338,0.1779339929,-2.345763026
0,295,0,17,0.9723600744,0.08644447432,0.08432520971,2.302809698
0,296,0,50,0.9796127402,0.1415454885,0.141479235,-0.5174358739
0,297,0,17,0.9744701624,0.08662163955,0.08449256346,2.872401833
0,298,0,17,0.9740811179,0.09079875933,0.08841040386,-2.646592522
0,299,0,17,0.9720506241,0.08207972779,0.08053562349,-2.853639639
0,300,0,5,0.9701488936,0.1506252282,0.1505702111,2.289246164
0,301,0,5,0.5853162893,0.4160538754,0.3466611066,-2.983009499
0,302,0,50,0.4824417566,0.45424992,0.2986692741,1.402345058
0,303,0,50,0.9760669766,0.1279512499,0.1276879846,1.752447208
0,304,0,50,0.9613253341,0.1904244354,0.18997137,-2.251455441
0,305,0,50,0.9650597969,0.1848736713,0.1843287546,-1.707877363
0,306,0,5,0.9706590365,0.1461087181,0.146049237,2.414429857
0,307,0,17,0.9727726862,0.08678407676,0.08458529397,-0.6158938579
0,308,0,50,0.9778374337,0.1354129861,0.1351783863,1.828226545
0,309,0,17,0.9721688292,0.08606547177,0.08396730115,0.3233924403
0,310,0,17,0.9733391412,0.08693257352,0.08483078016,-2.130761037
0,311,0,50,0.9793956482,0.1291470522,0.1290909421,-0.3032467506
0,312,0,5,0.9771138849,0.1821840256,0.1819904034,-0.4750875469
0,313,0,24,0.9777787546,0.1500714427,0.1499085135,-1.879521084
0,314,0,24,0.9403835766,0.1912348145,0.1909851487,2.341716914
0,315,0,24,0.9513202715,0.158263386,0.1579671647,-1.667529838
0,316,0,5,0.596746699,0.4107109298,0.2798617877,-2.447374647
0,317,0,5,0.9820896372,0.1080708094,0.1072647681,-1.926146941
0,318,0,50,0.9662645254,0.1767482033,0.1764104444,-2.172852955
0,319,0,5,0.9651842646,0.1671262784,0.1669639741,0.8411806502
0,320,0,50,0.9703913926,0.1749243036,0.1747862289,-1.103118645
0,321,0,24,0.9808211792,0.1281291221,0.1279848061,-1.578625614
0,322,0,24,0.9500987064,0.1922330908,0.1918279387,-2.143623882
0,323,0,5,0.9705318087,0.1311702141,0.1309450729,-1.060142866
0,324,0,24,0.9447916662,0.1495997237,0.14918073,1.844697058
0,325,0,17,0.9739533037,0.08656007317,0.08463244157,-1.636883448
0,326,0,50,0.9654278427,0.1686549236,0.1684812927,-2.193329512
0,327,0,17,0.9737852195,0.08581209817,0.0839512863,-1.663256969
0,328,0,50,0.9612644424,0.191423823,0.1910174865,-2.170992937
0,329,0,50,0.9777075462,0.1225978244,0.1221400508,1.606278472
0,330,0,50,0.9628810223,0.190856808,0.1905484802,-2.873105505
0,331,0,50,0.4793632707,0.4185121531,0.2401885514,0.666097041
0,332,0,17,0.9712186239,0.08081131709,0.07949906212,1.135687639
0,333,0,5,0.969201319,0.1335281874,0.133171326,-0.9801694059
0,334,0,50,0.9701696634,0.1789831987,0.1779067987,-1.262220145
0,335,0,50,0.7606725793,0.3920869806,0.3807417175,0.821328042
