seed,condition,n_key,variance_retained,train_loss,train_acc,test_loss,test_acc
0,clean,5,1.0,9.372468158559572e-08,1.0,1.8363109567081464e-07,1.0
0,key_diag,5,0.9904197424,5.791358352832054e-08,1.0,6.075587941358877e-08,1.0
0,key_block,5,0.9916297563,6.780117093261809e-08,1.0,7.83690754581478e-08,1.0
0,ablate_key,5,0.00590890814,5.728911106621279,0.044386422976501305,5.800930351670426,0.037923705112428686
0,cross_terms,5,0.003920236802,5.375602359025243,0.012793733681462142,5.497622712994758,0.010739456315024052
1,clean,4,1.0,9.524472580113486e-08,1.0,1.9536985793419123e-07,1.0
1,key_diag,4,0.9915337435,5.759362175367756e-08,1.0,5.993840863326813e-08,1.0
1,key_block,4,0.9919683107,6.312944851828887e-08,1.0,7.480787055473028e-08,1.0
1,ablate_key,4,0.004073873025,5.729007170242251,0.024281984334203654,5.946377119836068,0.019800872580825597
1,cross_terms,4,0.00405403924,5.8805544211862,0.01618798955613577,6.020156274272879,0.013424320393780064
2,clean,5,1.0,8.820237947711147e-08,1.0,0.034729133196221604,0.997315135921244
2,key_diag,5,0.9591884852,8.543716273415153e-08,1.0,9.350583668860008e-08,1.0
2,key_block,5,0.9687160348,2.2000220439194537e-07,1.0,4.482178092376227e-07,1.0
2,ablate_key,5,0.02567747178,7.256653451031434,0.037859007832898174,7.364491506125959,0.03378453965767983
2,cross_terms,5,0.01213584713,5.734594762884905,0.011488250652741514,5.900143329505697,0.009732632285490548
3,clean,5,1.0,9.196749579304153e-08,1.0,1.746454333898316e-07,1.0
3,key_diag,5,0.9868856004,5.7739583179356813e-08,1.0,6.023961632825237e-08,1.0
3,key_block,5,0.9881952084,6.656521529126833e-08,1.0,7.861636962939741e-08,1.0
3,ablate_key,5,0.007818139006,5.8798948472673285,0.03629242819843342,6.026800978281169,0.0346794943505985
3,cross_terms,5,0.005753813309,5.5981152198042885,0.007832898172323759,5.725024687246583,0.01096319498825372
4,clean,4,1.0,2.2148557325095197e-07,1.0,1.074471779501166e-06,1.0
4,key_diag,4,0.9884785905,7.086462534466776e-07,1.0,7.447825462129793e-07,1.0
4,key_block,4,0.9888221378,8.81049308384276e-07,1.0,1.057148222291617e-06,1.0
4,ablate_key,4,0.02847832205,11.977838528442845,0.0018276762402088772,12.173119902561599,0.002908602751985681
4,cross_terms,4,0.005588856008,7.0646769748894975,0.04569190600522193,7.148799518544622,0.045978297348696726
5,clean,5,1.0,9.41029704792169e-08,1.0,6.854303181894924e-07,1.0
5,key_diag,5,0.9874787545,4.154752323757977e-08,1.0,4.470188781866641e-08,1.0
5,key_block,5,0.9889891592,5.387932649962242e-08,1.0,7.439060497948226e-08,1.0
5,ablate_key,5,0.008808881391,5.862309437547865,0.012532637075718016,6.049052497272771,0.008837677592571876
5,cross_terms,5,0.004267562099,5.328977171751733,0.018537859007832898,5.455535943187109,0.01610918447253608
6,clean,4,1.0,8.853607620493834e-08,1.0,1.5572823877754553e-07,1.0
6,key_diag,4,0.9913465289,7.020404527597926e-08,1.0,7.479134277794491e-08,1.0
6,key_block,4,0.9936538445,8.384051598265212e-08,1.0,9.968426807642985e-08,1.0
6,ablate_key,4,0.003634917177,6.285262545488965,0.013054830287206266,6.445465199435694,0.009956370958720215
6,cross_terms,4,0.003583626694,6.131856847772145,0.029242819843342035,6.345065646471412,0.026065555431256292
7,clean,5,1.0,9.383614601185324e-08,1.0,9.596263128517558e-07,1.0
7,key_diag,5,0.975418168,5.191667980471748e-08,1.0,5.550501858472943e-08,1.0
7,key_block,5,0.978666552,7.928579845179937e-08,1.0,1.054395610634923e-07,1.0
7,ablate_key,5,0.01589574792,6.238977305613853,0.038642297650130546,6.472384309989059,0.03389640899429466
7,cross_terms,5,0.006260343823,5.460701263985193,0.009399477806788513,5.639414715684583,0.008837677592571876
8,clean,5,1.0,9.076470609959106e-08,1.0,1.6911087837915034e-07,1.0
8,key_diag,5,0.9864648808,6.189787543993519e-08,1.0,6.469805832242513e-08,1.0
8,key_block,5,0.988104331,6.893243323919311e-08,1.0,8.137148080195259e-08,1.0
8,ablate_key,5,0.009629173666,5.671150308034344,0.0412532637075718,5.83947697221916,0.038483051795502855
8,cross_terms,5,0.005455284407,5.3249121476802594,0.01227154046997389,5.419962016082456,0.01040384830517955
9,clean,5,1.0,9.310910150253166e-08,1.0,1.866917039417233e-07,1.0
9,key_diag,5,0.9903538019,1.0286029227726725e-07,1.0,1.1408880660994217e-07,1.0
9,key_block,5,0.9923210506,2.2729165114754787e-07,1.0,3.497660517491536e-07,1.0
9,ablate_key,5,0.007609211998,6.314884097982048,0.031070496083550912,6.282150698891301,0.03624566506320617
9,cross_terms,5,0.003693297654,5.451533992599914,0.02402088772845953,5.667771301902928,0.018458440541447588
