seed,query_spread,query_constant,factorisation_error_a,factorisation_error_b,factorises
0,0,1,9.50517e-08,9.30351e-08,1
1,0,1,9.01042e-08,9.84653e-08,1
2,0,1,2.61417e-07,2.52936e-07,1
3,0,1,1.05652e-07,1.15546e-07,1
4,0,1,1.20652e-07,1.18677e-07,1
5,0,1,2.08678e-07,2.26965e-07,1
6,0,1,1.37838e-07,1.22816e-07,1
7,0,1,2.32731e-07,2.17126e-07,1
8,0,1,8.5234e-08,9.7187e-08,1
9,0,1,1.73032e-07,2.11161e-07,1
