seed,condition,variance_retained,train_loss,train_acc,test_loss,test_acc
0,clean,1.0,9.372468196411517e-08,1.0,1.8363103871922546e-07,1.0
0,frozen_attention,0.491804,6.430380216070212,0.4579634464751958,6.604539444124284,0.4584405414475892
0,ablate_head0,0.47143,3.3230477929398625,0.487467362924282,3.225131342151003,0.4904351717194317
0,ablate_head1,0.860614,1.0629504261353797,0.8655352480417755,1.0437642666938354,0.867322966774807
0,ablate_head2,0.778323,1.8600990088157805,0.6443864229765013,1.785592874616144,0.6586866539881419
0,ablate_head3,0.465505,3.3647765354230756,0.49425587467362925,3.191122451553088,0.5013983667076855
1,clean,1.0,9.524471541420557e-08,1.0,1.953698251364101e-07,1.0
1,frozen_attention,0.610814,4.3669796606646525,0.581201044386423,4.215336850643933,0.5833985904463587
1,ablate_head0,0.841606,4.4704013384465355,0.574934725848564,4.273490972050984,0.5679606219935116
1,ablate_head1,0.715413,1.5837396347279102,0.731331592689295,1.5902937518998614,0.7328560241637767
1,ablate_head2,0.588069,2.8788298682326983,0.6140992167101827,3.1313207200114994,0.5957042174739904
1,ablate_head3,0.688689,1.7203314251409527,0.7065274151436032,1.799397733882175,0.6973934444568743
2,clean,1.0,8.820237871815874e-08,1.0,0.0347291321244381,0.997315135921244
2,frozen_attention,0.503864,6.076126138572305,0.5013054830287206,6.095792020767862,0.5088936122608793
2,ablate_head0,0.404724,5.975896752144486,0.28668407310704963,6.106574369368157,0.2741917440429578
2,ablate_head1,0.752629,2.2289557511308993,0.5989556135770235,2.5478305247048763,0.5814968117239064
2,ablate_head2,0.655656,2.7370403378563637,0.5631853785900783,2.668668864534492,0.5774695156057724
2,ablate_head3,0.489649,4.247141917794487,0.44934725848563967,4.501947020209725,0.4290189059178879
3,clean,1.0,9.196749186116977e-08,1.0,1.7464539747199728e-07,1.0
3,frozen_attention,0.300012,8.760162014519098,0.35848563968668407,9.312993671025495,0.35227654100011185
3,ablate_head0,0.425512,4.181110775521941,0.3681462140992167,4.249449759972111,0.375097885669538
3,ablate_head1,0.861998,1.0100656172680602,0.8804177545691906,1.08552453333654,0.8744826043181564
3,ablate_head2,0.623218,3.262870304243087,0.6793733681462141,3.4356730542266876,0.6621546034232016
3,ablate_head3,0.429494,4.166133096668318,0.3845953002610966,4.129096309477047,0.37632844837230117
4,clean,1.0,2.2148558541654884e-07,1.0,1.0744724374588419e-06,1.0
4,frozen_attention,0.645353,5.596047812703822,0.4639686684073107,5.836014108456634,0.43338181004586646
4,ablate_head0,0.955451,1.7799148182964997,0.7906005221932115,1.8490026505533645,0.7817429242644591
4,ablate_head1,0.345186,12.195860502563978,0.12480417754569191,12.024276274548257,0.12204944624678375
4,ablate_head2,0.355035,11.77607171570205,0.13237597911227153,11.930143854578523,0.12685982772122162
4,ablate_head3,0.958443,0.9849449321901632,0.8075718015665796,0.9402546956865435,0.7996420181228325
5,clean,1.0,9.410296964373865e-08,1.0,6.854306848067405e-07,1.0
5,frozen_attention,0.60225,3.839263235901228,0.6331592689295039,4.016931335273719,0.6274751090726032
5,ablate_head0,0.6846,1.76837687240695,0.6005221932114883,1.9056140975659093,0.5899988813066338
5,ablate_head1,0.615716,2.079177732287685,0.6174934725848564,2.1642463399769603,0.5961516948204497
5,ablate_head2,0.684028,1.8165973064958834,0.6073107049608355,1.8843871641331802,0.5941380467613827
5,ablate_head3,0.613245,2.083485045787889,0.6062663185378591,2.129301943221963,0.6024163776708804
6,clean,1.0,8.853608327621664e-08,1.0,1.5572825253222176e-07,1.0
6,frozen_attention,0.523513,10.550921412727854,0.29556135770234987,11.004098455518227,0.281463250922922
6,ablate_head0,0.74133,4.479663406707098,0.5386422976501305,4.706446424194193,0.519856807249133
6,ablate_head1,0.437195,7.749824505248977,0.2731070496083551,7.879351718868986,0.2771003467949435
6,ablate_head2,0.908325,3.010106168244103,0.6449086161879896,3.0356397608158896,0.6471641123168139
6,ablate_head3,0.438249,7.8564245391306144,0.2671018276762402,7.49543365011881,0.27497482939926166
7,clean,1.0,9.383615477977165e-08,1.0,9.596262432760191e-07,1.0
7,frozen_attention,0.530387,4.960769787656827,0.5754569190600523,4.990957714699708,0.5736659581608681
7,ablate_head0,0.712291,1.1892272294376047,0.7407310704960836,1.2251699902362083,0.7357646269157624
7,ablate_head1,0.644582,2.3082151212689896,0.5201044386422976,2.526519243141524,0.4988253719655442
7,ablate_head2,0.693831,1.2642841954671697,0.7148825065274151,1.4368315425831415,0.6874370734981542
