seed,n_key,step,param_norm,train_loss,train_acc,test_loss,test_acc,restricted_loss_train,restricted_acc_train,restricted_loss_test,restricted_acc_test,restricted_loss_all,restricted_acc_all,excluded_loss_train,excluded_acc_train,excluded_loss_test,excluded_acc_test,restricted_loss_train_products,restricted_acc_train_products,restricted_loss_test_products,restricted_acc_test_products,restricted_loss_all_products,restricted_acc_all_products,excluded_loss_train_products,excluded_acc_train_products,excluded_loss_test_products,excluded_acc_test_products
0,5,750,59.97463219,5.205546497e-05,1,21.73163101,0.02561807808,3.272612626,0.3033942559,3.494141864,0.261886117,3.427695237,0.2743362832,0.001793831442,1,24.48098987,0.01085132565,3.457364687,0.2221932115,3.720949993,0.1818995413,3.641888851,0.1939854335,0.003287799527,1,24.37790246,0.01141067233
0,5,806,60.03042712,2.892218989e-05,1,22.32229417,0.02640116344,3.18156111,0.3133159269,3.405693137,0.2702763173,3.338465816,0.2831858407,0.001374746079,1,25.27611533,0.01062758698,3.386842945,0.2300261097,3.656313245,0.1901778722,3.575486927,0.202130159,0.002819217268,1,25.16164858,0.011298803
0,5,1000,59.96212014,4.12613089e-06,1,24.2537769,0.02953350487,2.896365409,0.3488250653,3.12948931,0.3056270276,3.059564919,0.3185840708,0.0006683714371,1,27.95900674,0.01096319499,3.174411011,0.254308094,3.464469088,0.2121042622,3.377467566,0.2247630981,0.002071949142,1,27.8011378,0.011298803
0,5,1250,58.86702032,6.280303682e-07,1,25.90179229,0.03244210762,2.561257972,0.3919060052,2.786922339,0.3503747623,2.7192354,0.3628318584,0.0005043273241,1,30.51820731,0.011298803,2.919541076,0.2812010444,3.213978213,0.2371629936,3.125663213,0.2503719947,0.002445816894,1,30.3059322,0.01163441101
0,5,1409,57.61170768,3.841680558e-07,1,26.03437622,0.03277771563,2.356648915,0.3817232376,2.561163055,0.3420964314,2.499820025,0.3539823009,0.0006503350045,1,31.05898374,0.01029197897,2.747154207,0.3075718016,3.023962047,0.2571876049,2.94093487,0.2723001018,0.003648758359,1,30.81665092,0.01085132565
0,5,1500,56.88492464,3.529334793e-07,1,25.85409334,0.03356080098,2.251943266,0.3710182768,2.443366676,0.3340418391,2.385950147,0.3451327434,0.0008423349673,1,31.05740669,0.01040384831,2.654687056,0.317232376,2.91945961,0.2680389305,2.840042359,0.2827942674,0.00486644548,0.9997389034,30.80024249,0.01085132565
0,5,1750,55.3076927,3.397478923e-07,1,25.0943681,0.03691688108,2.004296897,0.4310704961,2.167527843,0.396800537,2.118567507,0.407079646,0.001901153863,1,30.77011545,0.009956370959,2.436179501,0.3430809399,2.674512553,0.3030540329,2.603025703,0.3150599107,0.01117546993,0.9973890339,30.47299158,0.01107506432
0,5,2000,54.26259102,3.361044402e-07,1,24.29428438,0.0409441772,1.771976874,0.4939947781,1.9144936,0.4583286721,1.871746395,0.4690265487,0.004649279671,1,30.49002277,0.009620762949,2.228601426,0.3757180157,2.448143087,0.3428795167,2.382292624,0.3527292662,0.02407349699,0.9934725849,30.15085372,0.01073945632
0,5,2250,53.51370311,3.309816483e-07,1,23.47133023,0.04318156393,1.549895431,0.5321148825,1.674663323,0.5052019242,1.637239795,0.5132743363,0.0118131107,0.9973890339,30.24604742,0.008613938919,2.022688428,0.419843342,2.226400791,0.3784539658,2.16529825,0.3908685097,0.04826521104,0.984073107,29.86112228,0.009732632285
0,5,2460,53.00539937,3.265580931e-07,1,22.72604681,0.04698512138,1.374589816,0.5571801567,1.487161715,0.5323861729,1.453396316,0.5398230088,0.02599066537,0.9939947781,30.05750556,0.008613938919,1.851244406,0.4527415144,2.044023162,0.4098892494,1.986200103,0.4227425797,0.08521743158,0.97154047,29.63080143,0.009061416266
0,5,2500,52.91608656,3.257621978e-07,1,22.57868513,0.04799194541,1.341722107,0.5571801567,1.452181942,0.5323861729,1.419050047,0.5398230088,0.03017165955,0.9924281984,30.02346321,0.008502069583,1.817410841,0.4600522193,2.008376031,0.4174963642,1.951096943,0.4302607878,0.0943865395,0.9691906005,29.58792767,0.008837677593
0,5,2750,52.39788855,3.20572254e-07,1,21.62368805,0.05324980423,1.158795402,0.5932114883,1.25719714,0.5675131446,1.227682013,0.5752212389,0.07319427024,0.9783289817,29.80792494,0.0079427229,1.619215453,0.4971279373,1.797797423,0.4555319387,1.744232622,0.468008458,0.1745056906,0.9433420366,29.31693071,0.008166461573
0,5,3000,51.92251728,3.155441887e-07,1,20.60699573,0.06119252713,0.9958814991,0.644386423,1.08528835,0.6214341649,1.058471196,0.6283185841,0.1623843588,0.9433420366,29.59384935,0.00760711489,1.426904006,0.5308093995,1.593431845,0.4925606891,1.543482623,0.5040332054,0.3043853579,0.8994778068,29.05356644,0.008502069583
0,5,3250,51.45982013,3.095003149e-07,1,19.49039369,0.07070142074,0.8512842966,0.6652741514,0.9330406311,0.637767088,0.9085182126,0.6460176991,0.3345578063,0.8825065274,29.36530479,0.00760711489,1.238688265,0.5775456919,1.391989304,0.5322743036,1.346007396,0.5458532383,0.5073856765,0.8451697128,28.7847664,0.008613938919
0,5,3500,50.9772545,3.026650375e-07,1,18.18967383,0.07808479696,0.7197601073,0.682767624,0.7949489321,0.6555543126,0.7723964065,0.6637168142,0.648611625,0.7835509138,29.08836508,0.007383376217,1.049856906,0.6167101828,1.189150755,0.5803781184,1.147370237,0.5912757459,0.8276380124,0.7650130548,28.47412127,0.0079427229
0,5,3750,50.4710808,2.964347104e-07,1,16.73981722,0.09117350934,0.6006274152,0.734464752,0.6689010685,0.6966103591,0.6484227153,0.7079646018,1.14835491,0.6571801567,28.7397773,0.006488421524,0.8707260514,0.6663185379,0.994321044,0.6291531491,0.9572493217,0.6403007283,1.296301898,0.6626631854,28.10761376,0.007383376217
0,5,4000,49.9340564,2.890608835e-07,1,15.1261829,0.1127642913,0.4821960202,0.7906005222,0.5417928816,0.761047097,0.5239170903,0.7699115044,1.867813574,0.5268929504,28.30977771,0.004922250811,0.6979250535,0.7245430809,0.8047278261,0.6836335161,0.7726928493,0.6959041428,1.955861822,0.5477806789,27.67726259,0.00693589887
0,5,4250,49.33649537,2.806038216e-07,1,13.29226602,0.1383823694,0.3555453493,0.8780678851,0.4033914625,0.8626244546,0.3890402515,0.8672566372,2.860250468,0.3859007833,27.77638096,0.004698512138,0.5247170774,0.792689295,0.612420855,0.7481821233,0.5861145296,0.7615318349,2.865858282,0.4242819843,27.16098548,0.006040944177
