seed,step,train_loss,test_loss,train_acc,test_acc,param_norm
0,0,4.774412273012129,4.775360418885212,0.013315926892950391,0.008166461572882873,42.216694182704
0,500,0.0007638643676888907,19.080666970703952,1.0,0.020919565946973934,59.66274038685525
0,1000,4.126130832282505e-06,24.253777137214765,1.0,0.029533504866316142,59.962120137555885
0,1500,3.529334993893271e-07,25.854093370614304,1.0,0.03356080098445016,56.88492463973102
0,2000,3.36104438840637e-07,24.294284280750585,1.0,0.0409441772010292,54.262591020874105
0,2500,3.2576229165333464e-07,22.578685145818675,1.0,0.047991945407763734,52.91608655622243
0,3000,3.1554420432341844e-07,20.606995565929015,1.0,0.06119252712831413,51.922517282911954
0,3500,3.026650115963972e-07,18.18967371920142,1.0,0.07808479695715405,50.97725449860948
0,4000,2.890608807331686e-07,15.126182894610624,1.0,0.11276429130775255,49.93405640452159
0,4500,2.7045190732246335e-07,11.2107920830623,1.0,0.18178767199910506,48.64215499209319
0,5000,2.3839808743272474e-07,6.1624472806043125,1.0,0.35417831972256403,46.74971770768707
0,5500,1.8290193388687277e-07,0.7454201883146676,1.0,0.8346571204832756,43.26529031050738
0,6000,1.4031534821014812e-07,0.011908151555830297,1.0,0.9970913972480143,38.974851479002005
0,6500,1.1037696575756843e-07,1.531223048138589e-05,1.0,1.0,34.87391569406112
0,7000,1.0341464921132652e-07,5.696359465357894e-07,1.0,1.0,32.45294396701769
0,7500,1.0109837323998937e-07,2.6162845465318136e-07,1.0,1.0,31.395489174291573
0,8000,9.980382477063895e-08,2.1809362987278878e-07,1.0,1.0,30.915804763113073
0,8500,9.896617421408886e-08,2.0253893818099365e-07,1.0,1.0,30.67694328001305
0,9000,9.839026854706568e-08,1.968600278159051e-07,1.0,1.0,30.54678225548908
0,9500,9.794894405315232e-08,1.9393015620693417e-07,1.0,1.0,30.469024051219826
0,10000,9.760016249548442e-08,1.9265462886039767e-07,1.0,1.0,30.417766979825586
0,10500,9.732099070965842e-08,1.9177185019332028e-07,1.0,1.0,30.382114438841516
0,11000,9.70740657493773e-08,1.908445163632849e-07,1.0,1.0,30.355546701689313
0,11500,9.685652458345646e-08,1.894987015625367e-07,1.0,1.0,30.334887908784808
0,12000,9.666844688582395e-08,1.882401520899629e-07,1.0,1.0,30.318118139432336
0,12500,9.650259720774245e-08,1.8740169125651582e-07,1.0,1.0,30.304255212373548
0,13000,9.635670884472041e-08,1.865671710889294e-07,1.0,1.0,30.29249873270149
0,13500,9.621890024172955e-08,1.8579339319583124e-07,1.0,1.0,30.282302928783984
