step,train_loss,test_loss,train_acc,test_acc,param_norm
0,4.774412273012129,4.775360418885212,0.013315926892950391,0.008166461572882873,42.216694182704
100,1.867896750536444,8.430629980169018,0.5720626631853786,0.007718984226423538,53.10191058041293
200,0.020466276713075045,16.548379092559394,1.0,0.01554983778946191,60.12669021142831
300,0.007058899621263002,17.10152053922298,1.0,0.016221053809150912,59.71432041552471
400,0.002295845925387983,18.05424910765216,1.0,0.018570309878062425,59.62548282719469
500,0.0007638643676888907,19.080666970703952,1.0,0.020919565946973934,59.66274038685525
600,0.00025825095993849806,20.13572684320152,1.0,0.024051907372189284,59.773698748926506
700,8.847797602819773e-05,21.200101243547216,1.0,0.02539433941156729,59.9106181436667
800,3.079587016023481e-05,22.258737197375773,1.0,0.02628929410448596,60.02550458123763
900,1.1004565945131572e-05,23.288042489766795,1.0,0.027855464817093636,60.05826162866455
1000,4.126130832282505e-06,24.253777137214765,1.0,0.029533504866316142,59.962120137555885
1100,1.701780201943036e-06,25.092785166328575,1.0,0.031323414252153486,59.68713611866203
1200,8.283707017161853e-07,25.70467997936845,1.0,0.03143528358876832,59.19440912694973
1300,5.061556802039564e-07,26.02042555589161,1.0,0.03266584629153149,58.496470526112
1400,3.893217335195477e-07,26.044000755534462,1.0,0.032777715628146326,57.68588845352689
1500,3.529334993893271e-07,25.854093370614304,1.0,0.03356080098445016,56.88492463973102
1600,3.4326383458305974e-07,25.566747894520326,1.0,0.034791363687213334,56.174100928741666
1700,3.408692412415328e-07,25.254308962456882,1.0,0.03635753439982101,55.57170434583075
1800,3.392875425109271e-07,24.933668644607874,1.0,0.037588097102584185,55.06479219322946
1900,3.3754982754179976e-07,24.616211870888097,1.0,0.03870679046873252,54.63386061439143
2000,3.36104438840637e-07,24.294284280750585,1.0,0.0409441772010292,54.262591020874105
2100,3.34063531913552e-07,23.97249964713236,1.0,0.041727262557333035,53.93803516041552
2200,3.320642446771446e-07,23.637731396793438,1.0,0.04251034791363687,53.647967897397066
2300,3.3001717545889694e-07,23.3012377810782,1.0,0.044412126636089046,53.385397739416874
2400,3.2819267476489197e-07,22.942047747726562,1.0,0.045642689338852224,53.1432338551288
2500,3.2576229165333464e-07,22.578685145818675,1.0,0.047991945407763734,52.91608655622243
2600,3.238431972666009e-07,22.2089103685146,1.0,0.04966998545698624,52.702161637175195
2700,3.2161485447456324e-07,21.818557817078702,1.0,0.052466718872357085,52.49778866332294
2800,3.194422299686718e-07,21.42669962845057,1.0,0.0548159749412686,52.29989123028334
2900,3.173466521720243e-07,21.02333854356702,1.0,0.05806018570309878,52.109483739909884
3000,3.1554420432341844e-07,20.606995565929015,1.0,0.06119252712831413,51.922517282911954
3100,3.132071199513204e-07,20.17901972816771,1.0,0.06354178319722564,51.73760685185175
3200,3.107479584006802e-07,19.72531223868779,1.0,0.0683521646716635,51.552930409776245
3300,3.079307584152868e-07,19.246906494186916,1.0,0.07182011410672334,51.365940500612304
3400,3.0540472751499663e-07,18.734648736720576,1.0,0.0759592795614722,51.17408806797075
3500,3.026650115963972e-07,18.18967371920142,1.0,0.07808479695715405,50.97725449860948
3600,3.0016208051904166e-07,17.62038041666435,1.0,0.0839020024611254,50.776487982314585
3700,2.976524226754826e-07,17.039659469416765,1.0,0.08804116791587425,50.57360542057716
3800,2.9521799745329117e-07,16.428999707637633,1.0,0.0957601521422978,50.36691740141046
3900,2.9210727201214237e-07,15.795689680438324,1.0,0.10347913636872133,50.15490353317281
