step,train_loss,test_loss,train_acc,test_acc,param_norm
0,4.771343088939013,4.778456467331957,0.00939947780678851,0.008278330909497707,42.27774306683926
100,1.9204365665003065,7.875821528887785,0.564751958224543,0.03982548383488086,53.35772790843052
200,0.017920421941520975,14.63275011587042,1.0,0.11802215012864974,60.413642220708965
300,0.006334869635189684,14.917091046550263,1.0,0.13122273184920014,59.89348832092608
400,0.0020541449167128744,15.582483149255726,1.0,0.142074057500839,59.73812404224928
500,0.0006828302913127496,16.315605685866696,1.0,0.15247790580601858,59.71009145456514
600,0.0002299196539429436,17.055492052080094,1.0,0.15807137263676027,59.754723469465134
700,7.851739348127086e-05,17.792184716972667,1.0,0.16232240742812395,59.82739393149158
800,2.7304254386866442e-05,18.510043529522104,1.0,0.16869895961516948,59.870726629320345
900,9.731080286278667e-06,19.172113422394087,1.0,0.173061863743148,59.82705443710724
1000,3.6518253084564494e-06,19.75100771046682,1.0,0.17652981317820785,59.64012585067689
1100,1.5198428329603767e-06,20.186735352746144,1.0,0.1802215012864974,59.26004063040683
1200,7.515205960178004e-07,20.42298047186638,1.0,0.1842487974046314,58.656220872702335
1300,4.6734104734098274e-07,20.424940783735966,1.0,0.1865980534735429,57.854335154199674
1400,3.645080052407614e-07,20.2057102206952,1.0,0.1895066562255286,56.949932208798565
1500,3.324276126791005e-07,19.84475184751784,1.0,0.19140843494798077,56.06659957037802
1600,3.2365910707785066e-07,19.410639452444556,1.0,0.1948763843830406,55.2802369385251
1700,3.204995742864705e-07,18.93926536300279,1.0,0.19890368050117463,54.60410818095996
1800,3.1791513928883704e-07,18.446868704926974,1.0,0.2021478912630048,54.02024471318586
1900,3.153742344425112e-07,17.933223939252102,1.0,0.208076966103591,53.508304334501425
2000,3.1260053665769304e-07,17.412889003538496,1.0,0.2104262221725025,53.05346043946132
2100,3.098567644807724e-07,16.87580253285245,1.0,0.21445351829063655,52.64001552599689
2200,3.0689041728537206e-07,16.33816145119082,1.0,0.2179214677256964,52.258887200535824
2300,3.038753870690395e-07,15.799322696812057,1.0,0.22071820114106724,51.90301050175654
2400,3.0083782159867126e-07,15.258998351819157,1.0,0.22496923593243093,51.56579543955811
2500,2.9754875372774534e-07,14.719372544242095,1.0,0.23123391878286162,51.24172526365628
2600,2.9454141314263593e-07,14.180219993594433,1.0,0.2364917776037588,50.92844953216161
2700,2.9149607387350477e-07,13.639459039800391,1.0,0.24085468173173732,50.62403564512577
2800,2.8831322949221114e-07,13.103460358569848,1.0,0.24611254055263454,50.32593834925971
2900,2.8539480400789064e-07,12.572881379329766,1.0,0.25383152477905807,50.033721451083544
3000,2.823947743320043e-07,12.04265517613225,1.0,0.2602080769661036,49.74663096719991
3100,2.7930158528360796e-07,11.509655813371943,1.0,0.2679270611925271,49.46259099296835
3200,2.7649422814261017e-07,10.973339297132181,1.0,0.27531043740910616,49.17909552421229
3300,2.7320240602828685e-07,10.432767785345684,1.0,0.28459559234813736,48.893781495085435
3400,2.697463698586232e-07,9.886311841751079,1.0,0.2957825260096208,48.60711435729504
3500,2.666896917182807e-07,9.334750796695092,1.0,0.30652198232464484,48.31838389280457
3600,2.6330333107555443e-07,8.777398212196045,1.0,0.3190513480255062,48.027190062038486
3700,2.5983909215006064e-07,8.218408847814267,1.0,0.33471305515158295,47.73272583400552
3800,2.566211640323542e-07,7.658148486813593,1.0,0.35160532498042285,47.43491000863981
3900,2.529970368599952e-07,7.0957082198329,1.0,0.3707349815415595,47.129711954005735
4000,2.4890863873365304e-07,6.5296121144870005,1.0,0.39042398478577023,46.81683896053882
4100,2.4513119792962525e-07,5.957263192558488,1.0,0.41436402282134466,46.49405070321017
4200,2.409005146638446e-07,5.380174441133233,1.0,0.440429578252601,46.15893028847606
4300,2.360198595491689e-07,4.7946176045961515,1.0,0.4729835552075176,45.80764972864735
4400,2.31217358814447e-07,4.199635499235127,1.0,0.5092292202707238,45.43591772866493
4500,2.2582204206719448e-07,3.599275754082832,1.0,0.5525226535406645,45.04067209877512
4600,2.20260460762189e-07,3.0170891675477796,1.0,0.5931312227318493,44.62529938063061
4700,2.1443042737757723e-07,2.460595355997777,1.0,0.6426893388522206,44.18821711474756
4800,2.0826683244112064e-07,1.9427493329160415,1.0,0.692918670992281,43.72736247489861
4900,2.0173977050075912e-07,1.469710616005775,1.0,0.7471752992504754,43.23823142691968
5000,1.945143704258952e-07,1.057613467006864,1.0,0.8010963194988254,42.71742383664412
5100,1.8587040230858182e-07,0.707062978395714,1.0,0.8551292090837902,42.1529730021208
5200,1.7662527118319754e-07,0.43220937107922397,1.0,0.9031211544915538,41.536948296070555
5300,1.676362338727847e-07,0.23926544376909897,1.0,0.9400380355744491,40.872981180684064
5400,1.5801847002209185e-07,0.1140581797729075,1.0,0.9682291084013872,40.16349286075223
5500,1.4883969698934296e-07,0.04261357892795593,1.0,0.9862400715963755,39.41266435276024
5600,1.4062241548610993e-07,0.01181074610257897,1.0,0.9963083118917105,38.633828400256725
5700,1.3439676537758985e-07,0.002978048959859148,1.0,0.999328783980311,37.86087478230617
5800,1.2983113787821066e-07,0.0006516372973262756,1.0,0.9998881306633852,37.123651986087
5900,1.2652829113706693e-07,0.00014145710589444886,1.0,1.0,36.4446188598275
6000,1.23919631823731e-07,6.97625771449925e-05,1.0,1.0,35.83057771262928
6100,1.2179918827000203e-07,4.899966156854241e-05,1.0,1.0,35.282499563049264
6200,1.201889181533557e-07,3.420398068631172e-05,1.0,1.0,34.79795300143254
6300,1.1899579683891284e-07,2.3280545380005585e-05,1.0,1.0,34.37507213955366
6400,1.1791192868789236e-07,1.5225258647577495e-05,1.0,1.0,34.007869909855614
6500,1.1695248571063988e-07,9.701001823743195e-06,1.0,1.0,33.689339029678294
6600,1.1608555698616292e-07,5.995680893527784e-06,1.0,1.0,33.412733049447475
6700,1.1529534821053972e-07,3.4653713458754446e-06,1.0,1.0,33.172794773579135
6800,1.1459888724728328e-07,2.1903474135480874e-06,1.0,1.0,32.96482445194864
6900,1.1397939313559301e-07,1.5352043274037218e-06,1.0,1.0,32.784830208871156
7000,1.133829693256766e-07,1.1881753024712918e-06,1.0,1.0,32.62892954567521
7100,1.128954469698002e-07,9.725134253825759e-07,1.0,1.0,32.49432880712319
7200,1.1241467636118024e-07,8.130982956770993e-07,1.0,1.0,32.37775186729374
7300,1.1194093393609624e-07,6.929541879512539e-07,1.0,1.0,32.276392329185796
7400,1.1149813393700996e-07,6.013651886613521e-07,1.0,1.0,32.18801759719783
7500,1.1105804349631232e-07,5.300037437208964e-07,1.0,1.0,32.110216611365104
7600,1.1062459170790581e-07,4.7144331653786947e-07,1.0,1.0,32.04085695324709
7700,1.1012831980267308e-07,4.216174395662653e-07,1.0,1.0,31.977689054442827
7800,1.0957489741102647e-07,3.786628926938881e-07,1.0,1.0,31.9182206658824
7900,1.0894679633417618e-07,3.4127194584593164e-07,1.0,1.0,31.86014095949206
8000,1.0822013511374858e-07,3.0821888337016384e-07,1.0,1.0,31.80081793472699
8100,1.0735437641984552e-07,2.8112567170230916e-07,1.0,1.0,31.73765031390815
8200,1.0635859384577971e-07,2.5830169373772893e-07,1.0,1.0,31.667533677708217
8300,1.0524805082763514e-07,2.399528887618917e-07,1.0,1.0,31.588099998502106
8400,1.0405909064324652e-07,2.2589817610266143e-07,1.0,1.0,31.498292029808063
8500,1.0290913596336145e-07,2.152299916153314e-07,1.0,1.0,31.398751441176795
8600,1.0186320199893668e-07,2.06790665537829e-07,1.0,1.0,31.292534473530516
8700,1.0100954476300158e-07,2.0040990387293302e-07,1.0,1.0,31.184076110071622
8800,1.0036771534819062e-07,1.959164006485022e-07,1.0,1.0,31.078774763003544
8900,9.991457876344845e-08,1.9266991770175767e-07,1.0,1.0,30.980559761274645
9000,9.9594577309102e-08,1.90331127498094e-07,1.0,1.0,30.891954813284755
9100,9.938087573396173e-08,1.8868730345769885e-07,1.0,1.0,30.813885596389802
9200,9.922615040589601e-08,1.8748077390279287e-07,1.0,1.0,30.746474871451444
