step,train_loss,test_loss,train_acc,test_acc,param_norm
0,4.772616776405605,4.769709093914513,0.009921671018276762,0.008278330909497707,42.352474101315075
100,1.9431618926404985,8.097217145597588,0.5462140992167102,0.012193757691016893,52.89956400677774
200,0.020016824501132496,15.428413338187182,1.0,0.03266584629153149,59.95036752142643
300,0.006987881717996722,15.78914804968789,1.0,0.03859492113211769,59.45574173663502
400,0.0022639899917116244,16.502704122472892,1.0,0.04709699071484506,59.33278207303809
500,0.0007510264946834209,17.26528618544291,1.0,0.052131110862512584,59.33446841886324
600,0.00025367282178774444,18.061245249301287,1.0,0.05716523101018011,59.405908944974264
700,8.659534789232951e-05,18.841094244120665,1.0,0.06096878845508446,59.49866405995176
800,3.0064298552208375e-05,19.58663441630991,1.0,0.06622664727598165,59.56172404662592
900,1.0707744066318134e-05,20.300078027845473,1.0,0.0696945967110415,59.54556857138121
1000,4.0016258850653695e-06,20.943128000571864,1.0,0.07472871685870904,59.3964381999075
1100,1.648241831253037e-06,21.48303760003322,1.0,0.07931535965991722,59.070403537105356
1200,8.022086232930276e-07,21.851833095836202,1.0,0.08345452511466607,58.535563110835774
1300,4.89583701671012e-07,21.99079785417463,1.0,0.08871238393556326,57.8040771399537
1400,3.7604027398698143e-07,21.888714801489666,1.0,0.09106164000447478,56.96254037228061
1500,3.4022164249436537e-07,21.611977277710924,1.0,0.09329902673677146,56.13274799684239
1600,3.310101298110013e-07,21.25130406185969,1.0,0.09665510683521647,55.39397788332688
1700,3.2818307991563935e-07,20.874845109613585,1.0,0.10068240295335049,54.76608509211803
1800,3.266947136355217e-07,20.494465789608938,1.0,0.10437409106164,54.23439879397692
1900,3.248058295710619e-07,20.110645595916363,1.0,0.10694708580378119,53.77910028412324
2000,3.2295257197322055e-07,19.729688856982367,1.0,0.10974381921915204,53.38337360676516
2100,3.2088396558130133e-07,19.345039111415762,1.0,0.11298802998098222,53.034034154701786
2200,3.188282666558283e-07,18.954039808418162,1.0,0.11701532609911623,52.721874907079524
2300,3.165325332631429e-07,18.552097802643363,1.0,0.12160196890032442,52.43646288241913
2400,3.148372769384559e-07,18.14680525622092,1.0,0.1251817876719991,52.17422664791774
2500,3.1247625864166497e-07,17.738340465723546,1.0,0.13099899317597047,51.93085006168392
2600,3.1011733455539907e-07,17.31806976280131,1.0,0.13457881194764515,51.69894961948533
2700,3.078705769403478e-07,16.884124017672853,1.0,0.13927732408546817,51.47697379327362
2800,3.05744585570185e-07,16.443267402589946,1.0,0.14442331356975052,51.262779555220554
2900,3.0342445401624795e-07,15.989443765618933,1.0,0.15180668978632958,51.052905631339236
3000,3.00833909086532e-07,15.523599804495145,1.0,0.15807137263676027,50.844759563159386
3100,2.983682390735889e-07,15.031368106541127,1.0,0.16489540217026513,50.636243066326124
3200,2.9568979549488664e-07,14.518914056765174,1.0,0.17116008502069582,50.42638172215974
3300,2.9274800448988085e-07,13.975751645321065,1.0,0.18178767199910506,50.21312749771965
3400,2.8968305044028406e-07,13.3944028976251,1.0,0.19230338964089944,49.99170429195714
3500,2.8626924852637984e-07,12.765466486419987,1.0,0.2024834992728493,49.76029999721411
3600,2.824012160614438e-07,12.07822195900835,1.0,0.21456538762725139,49.515781499832315
3700,2.780671293084457e-07,11.326381945186881,1.0,0.23101018010963195,49.252543117127544
3800,2.7320477342749725e-07,10.493202499080589,1.0,0.25215348472983556,48.96455662291915
3900,2.6766297587833436e-07,9.56665205783067,1.0,0.27889025618078084,48.6467580191019
4000,2.608203959667099e-07,8.53797343063426,1.0,0.305067680948652,48.29211740037029
4100,2.5278368202830105e-07,7.395122983080477,1.0,0.34164895402170264,47.88488391717579
4200,2.4313569121458847e-07,6.160019340161475,1.0,0.3943394115672894,47.415890101087896
4300,2.3213277979689227e-07,4.858688228391721,1.0,0.45855241078420406,46.86715622391703
4400,2.2030851919977975e-07,3.583924508141382,1.0,0.5407763731961069,46.23998407297158
4500,2.067575936520541e-07,2.4003525423334837,1.0,0.6395569974270052,45.52100521815419
4600,1.942875081597245e-07,1.4420619996274124,1.0,0.7427005257858821,44.71155965286032
4700,1.8391429301295428e-07,0.7856515945664697,1.0,0.8365588992057277,43.848610795780196
4800,1.7540657099669433e-07,0.40265470687810295,1.0,0.9042398478577022,42.96986432293952
4900,1.6960034745350332e-07,0.19943907530598318,1.0,0.9430585076630496,42.111986614953075
5000,1.6415838696055816e-07,0.1015447234876241,1.0,0.9692359324309207,41.29445110913448
5100,1.5927784278506776e-07,0.05494052840393238,1.0,0.981765298131782,40.52270590907782
5200,1.5493314283983077e-07,0.030629050388884898,1.0,0.9895961516948205,39.79695599756057
5300,1.5045389858065597e-07,0.017354563491255918,1.0,0.9941827944960286,39.11253135444597
5400,1.453639539679482e-07,0.009746590627617135,1.0,0.9970913972480143,38.45989571705733
5500,1.4005670681501255e-07,0.005454238294000302,1.0,0.9982100906141627,37.82823290881483
5600,1.3497243855643135e-07,0.003087941435425953,1.0,0.9991050453070813,37.215222172086634
5700,1.3050215150391356e-07,0.0016713538992545337,1.0,0.9994406533169259,36.62720033814113
5800,1.2677799955628613e-07,0.0007988682002483699,1.0,0.9996643919901556,36.0723937183304
5900,1.238462415429382e-07,0.0003388887082165782,1.0,1.0,35.559642943160924
6000,1.213887588082476e-07,0.00015309315547612542,1.0,1.0,35.09330930969828
6100,1.1943244209486226e-07,8.223749269845386e-05,1.0,1.0,34.672871458115864
6200,1.1781550030170598e-07,4.7518873096731436e-05,1.0,1.0,34.29792307611981
6300,1.1636371154852739e-07,2.901397715112803e-05,1.0,1.0,33.96471416286423
6400,1.1512560009120828e-07,1.8493052170922358e-05,1.0,1.0,33.668846468008155
6500,1.1395593727471965e-07,1.279733149807841e-05,1.0,1.0,33.40526146205791
6600,1.129489104399378e-07,9.48313565113845e-06,1.0,1.0,33.16952320285853
6700,1.1202437102316582e-07,7.1963655048916195e-06,1.0,1.0,32.95890273963989
6800,1.112079136686519e-07,5.769058435301658e-06,1.0,1.0,32.77051508009349
6900,1.1051530908405271e-07,4.801934087421773e-06,1.0,1.0,32.602253844559286
7000,1.0995324225530572e-07,4.089237959002086e-06,1.0,1.0,32.45320118012986
7100,1.0946814542932512e-07,3.57059017631536e-06,1.0,1.0,32.32199168535005
7200,1.0906120762832218e-07,3.1344642783253e-06,1.0,1.0,32.20666611021891
7300,1.0875178348200417e-07,2.8143761409073916e-06,1.0,1.0,32.106563791586794
7400,1.0848211331339333e-07,2.5873850027394733e-06,1.0,1.0,32.02002921868513
7500,1.0825425273758611e-07,2.3976883532554884e-06,1.0,1.0,31.94552099464152
7600,1.0805275563548518e-07,2.2391057573021637e-06,1.0,1.0,31.881286887136497
7700,1.0787706168575641e-07,2.105019993502066e-06,1.0,1.0,31.825761037469757
7800,1.077285435481804e-07,1.9886618527628555e-06,1.0,1.0,31.77766640151293
7900,1.0757337443922491e-07,1.9077059702755142e-06,1.0,1.0,31.73597790771942
8000,1.0744105320822172e-07,1.8478246596088724e-06,1.0,1.0,31.699667268539464
8100,1.0732312227119501e-07,1.7998116770954803e-06,1.0,1.0,31.66780452418439
8200,1.0720805016826365e-07,1.7512549928027436e-06,1.0,1.0,31.63973996041123
8300,1.070987763335095e-07,1.6944729545865256e-06,1.0,1.0,31.615057914633773
8400,1.0700651259114897e-07,1.646758816974657e-06,1.0,1.0,31.593266117873654
8500,1.0691338680769211e-07,1.616662571240934e-06,1.0,1.0,31.57391222079084
8600,1.068145377947636e-07,1.5791803034921656e-06,1.0,1.0,31.556564719883987
8700,1.0674120297649135e-07,1.5521400783039813e-06,1.0,1.0,31.54089436502603
8800,1.0665396838219672e-07,1.5160080592195296e-06,1.0,1.0,31.526690395367098
8900,1.0657599140863664e-07,1.485233522573479e-06,1.0,1.0,31.513772360345335
9000,1.0650975262994471e-07,1.4611023943581902e-06,1.0,1.0,31.501907878359823
9100,1.0644614416516072e-07,1.4374773943015966e-06,1.0,1.0,31.49106793523418
9200,1.0638015834036181e-07,1.4160367737175199e-06,1.0,1.0,31.48104302310234
9300,1.0631731428099247e-07,1.4034193137748256e-06,1.0,1.0,31.471737774539413
9400,1.0625612254772204e-07,1.3992814077267544e-06,1.0,1.0,31.463057650061945
9500,1.0620192666692375e-07,1.391086913151506e-06,1.0,1.0,31.45494202116609
9600,1.061439617419853e-07,1.3842810057016072e-06,1.0,1.0,31.447373091731027
9700,1.0608739756115047e-07,1.3743450782837842e-06,1.0,1.0,31.440247209637132
9800,1.0603765468546443e-07,1.369856731689264e-06,1.0,1.0,31.43350265987803
9900,1.0598134473232194e-07,1.369844439970436e-06,1.0,1.0,31.42713297962911
10000,1.059298928970682e-07,1.3638110427410225e-06,1.0,1.0,31.42105928284559
10100,1.0588629946877811e-07,1.3578453610593726e-06,1.0,1.0,31.415255153543416
10200,1.0584363404460433e-07,1.3496834696953849e-06,1.0,1.0,31.40972919482836
10300,1.0579587769613704e-07,1.3429303453237393e-06,1.0,1.0,31.40446337935458
10400,1.0574777964065212e-07,1.3339795660740248e-06,1.0,1.0,31.399354465026544
10500,1.0570247785929121e-07,1.3279455100634563e-06,1.0,1.0,31.3943987603385
10600,1.0566075673770603e-07,1.3234675884093196e-06,1.0,1.0,31.389593245888854
10700,1.0562135862748144e-07,1.3200164985288298e-06,1.0,1.0,31.385028232935884
10800,1.0558182498814589e-07,1.3180989955067902e-06,1.0,1.0,31.38066073311358
10900,1.0554555623866603e-07,1.3166020904610855e-06,1.0,1.0,31.376468002121065
11000,1.0550765379633863e-07,1.3158340100764006e-06,1.0,1.0,31.37243026354523
11100,1.0547198991342318e-07,1.3146568458251229e-06,1.0,1.0,31.36849592026246
11200,1.054357545854199e-07,1.3161928946814038e-06,1.0,1.0,31.364658703513406
